amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,2,100.0,100,0.009033203125,0.3423,267.6582,1.3152,0.8365,0.6709,0.3588,0.551,0.5516,0.5433,0.5602,0.5516,0.8491,pyc_xmeans,wdbc_y.zip
2,2,100.0,20,0.0366647243499755,0.3447,267.6804,1.3093,0.8394,0.6765,0.3638,0.5614,0.562,0.551,0.5735,0.562,0.8527,pyc_xmeans,wdbc_y.zip
2,2,20.0,20,0.0217523574829101,0.3434,267.6299,1.3207,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,pyc_xmeans,wdbc_y.zip
2,2,inf,100,0.0091176033020019,0.3434,267.6917,1.3205,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,pyc_xmeans,wdbc_y.zip
2,2,inf,20,0.0104048252105712,0.3434,267.6917,1.3205,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,pyc_xmeans,wdbc_y.zip
2,6,1000.0,100,0.015702486038208,0.1495,124.1869,1.7295,0.6142,0.257,0.4313,0.3631,0.3655,0.6532,0.2537,0.3655,0.5296,pyc_xmeans,wdbc_y.zip
2,6,1000.0,20,0.0155811309814453,0.1441,115.704,1.6334,0.6135,0.254,0.3879,0.3424,0.3452,0.5875,0.2444,0.3452,0.5326,pyc_xmeans,wdbc_y.zip
2,6,100.0,100,0.015359878540039,0.1654,121.9139,1.6359,0.655,0.3304,0.4263,0.3959,0.3985,0.6456,0.2882,0.3985,0.6004,pyc_xmeans,wdbc_y.zip
2,6,100.0,20,0.0154807567596435,0.1588,121.5941,1.5949,0.6506,0.3215,0.4179,0.3942,0.3969,0.6328,0.2891,0.3969,0.5954,pyc_xmeans,wdbc_y.zip
2,6,20.0,20,0.0230319499969482,0.148,124.0902,1.7195,0.6171,0.2629,0.4406,0.37,0.3724,0.6673,0.2582,0.3724,0.5334,pyc_xmeans,wdbc_y.zip
2,6,inf,100,0.0146102905273437,0.1397,115.9168,1.6234,0.6056,0.2385,0.3718,0.3286,0.3314,0.563,0.2348,0.3314,0.5213,pyc_xmeans,wdbc_y.zip
2,6,inf,20,0.0336918830871582,0.1677,122.5462,1.5642,0.6559,0.332,0.4261,0.3968,0.3995,0.6453,0.2893,0.3995,0.6018,pyc_xmeans,wdbc_y.zip
4,10,1000.0,100,0.0705883502960205,0.1455,93.672,1.3704,0.5859,0.2068,0.482,0.3616,0.3658,0.73,0.244,0.3658,0.4739,pyc_xmeans,wdbc_y.zip
4,10,1000.0,20,0.0208182334899902,0.1459,96.9911,1.4156,0.5801,0.1957,0.4418,0.3317,0.3361,0.6691,0.2244,0.3361,0.4639,pyc_xmeans,wdbc_y.zip
4,10,100.0,100,0.0186536312103271,0.131,93.2475,1.3853,0.5812,0.1987,0.4699,0.3486,0.3528,0.7116,0.2345,0.3528,0.4639,pyc_xmeans,wdbc_y.zip
4,10,100.0,20,0.0315427780151367,0.1281,89.3621,1.4777,0.5959,0.2249,0.4951,0.3793,0.3834,0.7498,0.2576,0.3834,0.4937,pyc_xmeans,wdbc_y.zip
4,10,20.0,20,0.0245475769042968,0.1288,108.3372,1.6679,0.5789,0.1941,0.4507,0.3377,0.3408,0.6826,0.2271,0.3408,0.46,pyc_xmeans,wdbc_y.zip
4,10,inf,100,0.0187230110168457,0.135,96.4447,1.5579,0.5781,0.1926,0.4582,0.3384,0.3427,0.6939,0.2275,0.3427,0.4584,pyc_xmeans,wdbc_y.zip
4,10,inf,20,0.0332884788513183,0.132,97.4369,1.5218,0.5704,0.1789,0.4666,0.3362,0.3402,0.7066,0.224,0.3402,0.4421,pyc_xmeans,wdbc_y.zip
