amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
8,2,1000.0,100,0.0612540245056152,0.1759,1060.8847,1.5585,pyc_xmeans,wine.zip
8,2,1000.0,20,0.120335578918457,0.1742,1058.7693,1.6426,pyc_xmeans,wine.zip
8,2,20.0,20,0.1365718841552734,0.142,942.2702,1.769,pyc_xmeans,wine.zip
8,2,inf,100,0.0618829727172851,0.1763,1047.0612,1.5977,pyc_xmeans,wine.zip
8,2,inf,20,0.0598344802856445,0.1818,1041.6423,1.5376,pyc_xmeans,wine.zip
8,6,1000.0,100,0.065746784210205,0.1655,1031.2016,1.7846,pyc_xmeans,wine.zip
8,6,1000.0,20,0.0684013366699218,0.1741,1045.6407,1.6222,pyc_xmeans,wine.zip
8,6,20.0,20,0.0690422058105468,0.1659,976.3752,1.6074,pyc_xmeans,wine.zip
8,6,inf,100,0.1264104843139648,0.1741,1049.4698,1.5685,pyc_xmeans,wine.zip
8,6,inf,20,0.0585746765136718,0.181,1041.5335,1.5545,pyc_xmeans,wine.zip
