max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,12,3,5,inf,100.0,0.2,42,cos,jaccard,295.6905303001404,-0.0138,210.8619,2.573,CenterParTree2,wine.zip
10,12,3,5,inf,20.0,0.1,42,cos,jaccard,415.0147683620453,-0.1656,105.795,1.2298,CenterParTree2,wine.zip
10,12,3,5,inf,inf,0.0,42,cos,jaccard,35.741987228393555,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,inf,inf,0.1,42,cos,jaccard,36.00630474090576,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,inf,inf,0.2,42,cos,jaccard,35.818615436553955,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.0,42,cos,jaccard,36.53996109962464,0.112,590.7561,1.9031,CenterParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.1,42,cos,jaccard,36.66257977485657,0.2515,371.8018,1.2714,CenterParTree2,wine.zip
10,2,30,50,1000.0,100.0,0.2,42,cos,jaccard,36.88149547576904,0.2958,33.3833,1.2597,CenterParTree2,wine.zip
10,2,30,50,1000.0,20.0,0.1,42,cos,jaccard,37.1979250907898,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,50,1000.0,20.0,0.2,42,cos,jaccard,36.74223470687866,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,50,1000.0,inf,0.0,42,cos,jaccard,4.762561798095703,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,50,1000.0,inf,0.1,42,cos,jaccard,4.983232259750366,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,50,1000.0,inf,0.2,42,cos,jaccard,4.757273435592651,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,100.0,0.0,42,cos,jaccard,1.1706593036651611,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,100.0,0.1,42,cos,jaccard,1.118387222290039,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,100.0,0.2,42,cos,jaccard,1.1506118774414062,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,20.0,0.1,42,cos,jaccard,10.477304220199583,0.3112,6.1408,0.5613,CenterParTree2,wine.zip
10,2,30,50,100.0,20.0,0.2,42,cos,jaccard,10.458067893981934,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,50,100.0,inf,0.0,42,cos,jaccard,1.1454341411590576,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,inf,0.1,42,cos,jaccard,1.1129331588745115,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,100.0,inf,0.2,42,cos,jaccard,1.1782348155975342,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,inf,100.0,0.0,42,cos,jaccard,36.77932834625244,0.2274,475.8924,1.4745,CenterParTree2,wine.zip
10,2,30,50,inf,100.0,0.1,42,cos,jaccard,36.74433660507202,0.1107,568.7401,1.8994,CenterParTree2,wine.zip
10,2,30,50,inf,100.0,0.2,42,cos,jaccard,36.65835213661194,0.7511,28.1353,0.178,CenterParTree2,wine.zip
10,2,30,50,inf,20.0,0.1,42,cos,jaccard,37.07945585250855,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,50,inf,20.0,0.2,42,cos,jaccard,36.875734090805054,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,50,inf,inf,0.0,42,cos,jaccard,4.812113046646118,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,50,inf,inf,0.1,42,cos,jaccard,4.807311534881592,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,50,inf,inf,0.2,42,cos,jaccard,4.903558015823364,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,5,1000.0,100.0,0.0,42,cos,jaccard,36.79326105117798,0.2515,371.8018,1.2714,CenterParTree2,wine.zip
10,2,30,5,1000.0,100.0,0.1,42,cos,jaccard,36.638500452041626,0.1908,4.1249,0.6565,CenterParTree2,wine.zip
10,2,30,5,1000.0,100.0,0.2,42,cos,jaccard,37.10218620300293,0.2515,371.8018,1.2714,CenterParTree2,wine.zip
10,2,30,5,1000.0,20.0,0.1,42,cos,jaccard,37.20873618125916,0.1083,431.0016,1.8313,CenterParTree2,wine.zip
10,2,30,5,1000.0,20.0,0.2,42,cos,jaccard,36.97303819656372,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,5,1000.0,inf,0.0,42,cos,jaccard,5.062871694564819,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,5,1000.0,inf,0.1,42,cos,jaccard,4.913133382797241,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,5,1000.0,inf,0.2,42,cos,jaccard,4.957463264465332,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,5,100.0,100.0,0.0,42,cos,jaccard,1.1344587802886963,0.0286,299.799,3.8685,CenterParTree2,wine.zip
10,2,30,5,100.0,100.0,0.1,42,cos,jaccard,1.1437695026397705,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,5,100.0,100.0,0.2,42,cos,jaccard,1.146491527557373,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,5,100.0,20.0,0.1,42,cos,jaccard,10.495046377182009,0.3112,6.1408,0.5613,CenterParTree2,wine.zip
10,2,30,5,100.0,20.0,0.2,42,cos,jaccard,10.53049111366272,0.1898,1.9492,0.6753,CenterParTree2,wine.zip
10,2,30,5,100.0,inf,0.0,42,cos,jaccard,1.1087496280670166,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,5,100.0,inf,0.1,42,cos,jaccard,1.153980016708374,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
10,2,30,5,100.0,inf,0.2,42,cos,jaccard,1.1305537223815918,0.0499,458.8855,2.6814,CenterParTree2,wine.zip
